ID,CallFailure,Complaints,SubscriptionLength,ChargeAmount,SecondsofUse,Frequencyofuse,FrequencyofSMS,DistinctCalledNumbers,AgeGroup,TariffPlan,Status,Age,CustomerValue,Churn
204,9,0,34,0,4118,64,0,31,1,1,1,15,230.01,0
205,2,0,34,0,2313,56,0,29,1,1,1,15,130.295,0
206,10,0,34,0,3695,80,22,24,3,1,1,30,239,0
207,3,0,34,0,2280,37,275,14,3,1,1,30,1192.68,0
208,12,0,33,1,9035,119,134,39,3,1,1,30,902.16,0
209,6,0,34,0,13693,167,0,40,3,1,1,30,554.4,0
210,6,0,34,0,4435,81,0,21,3,1,1,30,180.64,0
211,5,0,34,0,5838,93,0,8,2,1,1,25,266.895,0
212,8,0,34,0,2158,52,0,13,3,1,2,30,88.4,0
213,24,0,34,2,15060,223,44,28,3,1,1,30,787.32,0
214,3,0,34,0,3015,25,473,4,3,1,1,30,2013.6,0
215,8,0,33,0,15405,180,140,26,2,1,1,25,1331.325,0
216,2,0,33,0,6420,84,176,22,3,1,1,30,964.16,0
217,0,0,33,0,795,12,0,7,2,1,2,25,36.315,0
218,1,0,34,0,630,12,3,4,2,1,2,25,42.39,0
219,0,0,33,0,0,0,0,0,2,1,2,25,0,1
220,2,0,33,0,7428,125,374,39,2,1,1,25,2022.885,0
221,6,0,33,0,11385,152,1,43,3,1,1,30,465.48,0
222,7,0,33,0,6638,73,98,33,2,1,1,25,742.995,0
223,22,0,29,0,875,45,6,13,2,1,2,25,68.4,1
224,20,0,32,7,10355,91,0,38,4,1,1,45,261.15,0
225,12,1,32,0,5738,96,16,20,2,1,1,25,334.53,1
226,0,0,30,0,2760,20,0,10,3,1,1,30,111.2,0
227,8,1,31,0,2910,39,0,12,3,1,2,30,117.96,1
228,8,0,32,0,2188,42,24,27,3,1,2,30,185.2,1
229,0,1,32,0,0,0,0,0,3,1,2,30,0,1
230,0,0,32,0,1588,23,0,2,3,1,1,30,64.44,0
231,2,0,29,0,6705,95,4,18,4,1,1,45,180,0
232,0,0,32,0,0,0,0,0,4,1,2,45,0,1
233,0,0,32,0,0,0,0,0,5,1,1,55,0,0
234,24,0,27,2,15995,236,0,76,2,1,1,25,730.395,0
235,5,0,30,2,6885,114,261,29,2,2,1,25,1489.455,0
236,1,0,32,0,3638,80,0,24,2,1,1,25,167.31,0
237,2,0,31,0,1585,42,28,16,3,1,2,30,177.08,0
238,5,0,32,0,2700,51,165,19,2,1,1,25,866.295,0
239,3,0,23,0,1235,34,183,7,2,2,1,25,880.605,0
240,3,0,22,0,1488,37,20,64,4,1,1,45,88.125,0
241,10,0,23,0,620,23,0,3,2,1,2,25,28.935,0
242,0,0,22,0,0,0,11,0,4,1,2,45,27.5,0
243,9,0,21,0,1145,30,9,9,2,1,1,25,93.375,0
244,1,0,21,0,3145,59,0,19,3,1,1,30,128.16,0
245,1,0,14,0,1615,24,18,10,2,1,1,25,154.755,0
246,15,0,13,0,6313,139,75,38,1,2,1,15,767.36,0
247,11,0,11,0,8853,169,63,36,4,1,1,45,383.05,0
248,7,0,12,2,2773,43,21,15,3,1,1,30,196.64,0
249,1,0,5,0,4310,38,205,6,3,1,1,30,993.92,0
250,2,0,5,0,1408,17,0,3,3,1,1,30,57,1
251,13,0,44,1,4630,81,20,23,3,1,1,30,268.44,0
252,5,0,45,0,578,15,22,10,3,1,2,30,111.72,0
253,15,0,43,1,2713,70,374,30,3,1,1,30,1607.32,0
254,15,0,44,1,4458,76,16,41,1,1,1,15,337.37,0
255,8,0,44,1,2653,68,17,39,2,1,1,25,198.945,0
256,16,0,44,2,4035,92,47,34,3,1,1,30,353.08,0
257,9,0,44,1,2620,49,300,24,3,1,1,30,1306.76,0
258,18,0,43,3,9375,131,159,49,3,1,1,30,1016.24,0
259,12,0,44,1,14033,179,15,50,3,1,1,30,628.48,0
260,12,0,44,2,4775,93,17,31,3,1,1,30,262.72,0
261,11,0,44,1,6178,105,22,18,3,1,1,30,339.32,0
262,14,1,44,0,2498,64,23,23,3,1,2,30,194.48,0
263,30,0,44,4,15400,235,69,38,3,1,1,30,901.4,0
264,9,0,44,2,3355,37,498,14,3,1,1,30,2127.68,0
265,14,0,43,1,15745,192,165,36,2,1,1,25,1459.665,0
266,8,0,43,2,6760,96,201,32,3,1,1,30,1078.24,0
267,5,0,43,0,1135,24,15,17,2,1,2,25,119.655,0
268,7,0,44,0,970,24,28,14,3,1,2,30,151.76,0
269,5,0,43,0,260,10,15,6,2,1,2,25,79.65,1
270,8,0,43,1,7768,137,399,49,3,1,1,30,1912.2,0
271,12,0,43,2,11725,164,26,53,4,1,1,45,362.225,0
272,13,0,43,2,6978,85,123,43,2,1,1,25,871.335,0
273,28,1,39,0,1215,57,31,23,3,1,2,30,174.88,1
274,26,0,42,9,10695,103,16,48,5,2,1,55,185.97,0
275,18,0,42,2,6078,108,41,30,2,1,1,25,462.87,0
276,6,0,40,1,3100,32,15,20,3,1,1,30,185.28,0
277,14,1,41,0,3250,51,24,22,3,1,2,30,228.04,1
278,14,1,42,0,2528,54,49,37,4,1,2,45,187.05,1
279,5,0,42,0,393,12,15,8,3,1,2,30,76.2,1
280,6,0,42,1,1928,35,15,12,4,1,1,45,86.575,0
281,8,0,39,2,7045,107,29,28,5,1,1,55,150.78,0
282,5,0,42,0,888,17,24,10,4,1,2,45,82.625,1
283,5,0,42,2,598,14,19,8,5,1,1,55,37.68,0
284,30,1,37,4,16335,248,15,86,2,1,1,25,813.735,0
285,11,1,40,4,7225,126,286,39,3,2,1,30,1438.04,0
286,7,0,42,1,3978,92,17,34,3,1,1,30,230.8,0
287,8,0,41,0,1925,54,53,26,3,1,2,30,291.16,0
288,11,0,42,1,3040,63,190,29,2,1,1,25,994.635,0
289,9,0,33,2,1575,46,208,17,3,2,1,30,896.84,0
290,9,0,32,1,1828,49,45,74,5,1,1,55,95.655,0
291,16,0,33,0,960,35,25,13,3,1,2,30,139.8,0
292,5,0,32,0,1085,20,36,9,4,1,2,45,117.625,0
293,15,0,31,1,1485,42,34,19,2,1,1,25,221.715,0
294,7,0,31,1,3485,71,23,29,3,1,1,30,234.24,0
295,7,0,24,1,1955,36,43,20,3,1,1,30,251.64,0
296,21,0,23,2,6653,151,100,48,2,2,1,25,756.18,0
297,17,0,21,1,9193,181,88,46,5,1,1,55,272.61,0
298,13,0,22,4,3113,55,46,25,3,1,1,30,310.72,0
299,7,0,15,2,4650,50,230,16,3,1,1,30,1108,0
300,8,1,15,2,1748,29,15,13,3,1,1,30,131.08,1
301,3,0,32,0,4110,61,0,11,2,1,1,25,187.695,0
302,0,0,33,0,0,0,0,0,2,1,2,25,0,0
303,5,0,31,0,2193,50,344,18,2,1,1,25,1648.935,0
304,5,0,32,0,3938,56,0,29,1,1,1,15,219.67,0
305,0,0,32,0,2133,48,0,27,1,1,1,15,119.955,0
306,6,0,32,0,3515,72,17,22,2,1,1,25,237.915,0
307,0,0,32,0,2100,29,270,12,3,1,1,30,1165.16,0
308,8,0,31,1,8855,111,129,37,3,1,1,30,874.64,0
309,2,0,32,0,13513,159,0,38,3,1,1,30,546.88,0
310,2,0,32,0,4255,73,0,19,3,1,1,30,173.12,0
311,1,0,32,0,5658,85,0,6,2,1,1,25,258.435,0
312,4,0,32,0,1978,44,0,11,3,1,2,30,80.88,0
313,20,0,32,2,14880,215,39,26,3,1,1,30,759.8,0
314,0,0,32,0,2835,17,468,2,3,1,1,30,1986.08,0
315,4,0,31,0,15225,172,135,24,2,1,1,25,1300.365,0
316,0,0,31,0,6240,76,171,20,3,1,1,30,936.64,0
317,0,0,31,0,615,4,0,5,2,1,2,25,27.855,0
318,0,0,32,0,450,4,0,2,2,1,2,25,20.43,0
319,0,0,31,0,0,0,0,0,2,1,2,25,0,1
320,0,0,31,0,7248,117,369,37,2,1,1,25,1991.925,0
321,2,0,31,0,11205,144,0,41,3,1,1,30,453.96,0
322,3,0,31,0,6458,65,93,31,2,1,1,25,712.035,0
323,18,1,27,0,695,37,1,11,2,1,2,25,37.44,1
324,16,0,30,7,10175,83,0,36,4,1,1,45,256.45,0
325,8,1,30,0,5558,88,11,18,2,1,1,25,303.57,1
326,0,0,28,0,2580,12,0,8,3,1,1,30,103.68,0
327,4,0,29,0,2730,31,0,10,2,1,2,25,124.245,1
328,4,1,30,0,2008,34,19,25,3,1,2,30,157.68,1
329,0,0,30,0,0,0,0,0,3,1,2,30,0,1
330,0,0,30,0,0,0,0,0,3,1,1,30,0,0
331,0,0,27,0,6525,87,0,16,4,1,1,45,165.3,0
332,0,1,30,0,0,0,0,0,4,1,2,45,0,1
333,0,1,30,0,0,0,0,0,5,1,1,55,0,1
334,20,0,25,2,15815,228,0,74,2,1,1,25,721.935,0
335,1,0,28,2,6705,106,256,27,2,2,1,25,1458.495,0
336,0,0,30,0,3458,72,0,22,2,1,1,25,158.85,0
337,0,0,29,0,1405,34,23,14,3,1,2,30,149.56,0
338,1,0,30,0,2520,43,160,17,2,1,1,25,835.335,0
339,0,0,21,0,1055,26,178,5,2,2,1,25,849.645,0
340,0,0,20,0,1308,29,15,62,4,1,1,45,70.925,0
341,6,0,21,0,440,15,0,1,2,1,2,25,20.475,0
342,0,0,20,0,0,0,6,0,4,1,2,45,15,0
343,5,0,19,0,965,22,4,7,2,1,1,25,62.415,0
344,0,0,19,0,2965,51,0,17,3,1,1,30,120.64,0
345,0,0,12,0,1435,16,13,8,2,1,1,25,123.795,0
346,11,0,11,0,6133,131,70,36,1,2,1,15,729.52,0
347,7,0,9,0,8673,161,58,34,4,1,1,45,365.85,0
348,3,0,10,2,2593,35,16,13,3,1,1,30,169.12,0
349,0,0,3,0,4130,30,200,4,3,1,1,30,966.4,0
350,0,1,3,0,1228,9,0,1,2,1,1,25,55.665,1
351,10,0,41,0,4550,79,16,22,3,1,1,30,249.16,0
352,2,0,42,0,498,13,18,9,2,1,2,25,103.995,0
353,12,0,40,0,2633,68,370,29,3,1,1,30,1588.04,0
354,12,0,41,0,4378,74,12,40,1,1,1,15,310.86,0
355,5,0,41,0,2573,66,13,38,1,1,1,15,216.645,0
356,13,0,41,1,3955,90,43,33,3,1,1,30,333.8,0
357,6,0,41,0,2540,47,296,23,3,1,1,30,1287.48,0
358,15,0,40,2,9295,129,155,48,3,1,1,30,996.96,0
359,9,0,41,0,13953,177,11,49,3,1,1,30,609.2,0
360,9,0,41,1,4695,91,13,30,3,1,1,30,243.44,0
361,8,0,41,0,6098,103,18,17,3,1,1,30,320.04,0
362,11,0,41,0,2418,62,19,22,3,1,2,30,175.2,0
363,27,0,41,3,15320,233,65,37,3,1,1,30,882.12,0
364,6,0,41,1,3275,35,494,13,3,1,1,30,2108.4,0
365,11,0,40,0,15665,190,161,35,2,1,1,25,1437.975,0
366,5,0,40,1,6680,94,197,31,3,1,1,30,1058.96,0
367,2,0,40,0,1055,22,11,16,2,1,2,25,97.965,0
368,4,0,41,0,890,22,24,13,3,1,2,30,132.48,0
369,2,0,40,0,180,8,11,5,2,1,2,25,57.96,1
370,5,0,40,0,7688,135,395,48,2,1,1,25,2129.535,0
371,9,0,40,1,11645,162,22,52,4,1,1,45,350.175,0
372,10,0,40,1,6898,83,119,42,2,1,1,25,849.645,0
373,25,1,36,0,1135,55,27,22,2,1,2,25,175.05,1
374,23,0,39,8,10615,101,12,47,5,1,1,55,178.74,0
375,15,0,39,1,5998,106,37,29,2,1,1,25,441.18,0
376,3,0,37,0,3020,30,11,19,3,1,1,30,166,0
377,11,1,38,0,3170,49,20,21,3,1,2,30,208.76,1
378,11,1,39,0,2448,52,45,36,3,1,2,30,280,1
379,2,1,39,0,313,10,11,7,3,1,2,30,56.92,1
380,3,0,39,0,1848,33,11,11,3,1,1,30,119.24,0
381,5,0,36,1,6965,105,25,27,5,1,1,55,143.55,0
382,2,0,39,0,808,15,20,9,4,1,2,45,70.575,1
383,2,0,39,1,518,12,15,7,5,1,1,55,30.45,0
384,27,1,34,3,16255,246,11,85,2,1,1,25,792.045,0
385,8,0,37,3,7145,124,282,38,2,2,1,25,1596.105,0
386,4,0,39,0,3898,90,13,33,2,1,1,25,237.96,0
387,5,0,38,0,1845,52,49,25,3,1,2,30,271.88,0
388,8,0,39,0,2960,61,186,28,2,1,1,25,972.945,0
389,6,1,30,1,1495,44,204,16,2,2,1,25,987.255,1
390,6,0,29,0,1748,47,41,73,4,1,1,45,147.375,0
391,13,0,30,0,880,33,21,12,2,1,2,25,135.585,0
392,2,0,29,0,1005,18,32,8,4,1,2,45,105.575,0
393,12,0,28,0,1405,40,30,18,2,1,1,25,200.025,0
394,4,0,28,0,3405,69,19,28,3,1,1,30,214.96,0
395,4,0,21,0,1875,34,39,19,2,1,1,25,261.405,0
396,18,0,20,1,6573,149,96,47,2,2,1,25,734.49,0
397,14,0,18,0,9113,179,84,45,4,1,1,45,442.3,0
398,10,0,19,3,3033,53,42,24,3,1,1,30,291.44,0
399,4,0,12,1,4570,48,226,15,3,1,1,30,1088.72,0
400,5,0,12,1,1668,27,11,12,3,1,1,30,111.8,1
401,6,0,35,0,4190,63,0,12,3,1,1,30,170.12,0
402,0,0,36,0,0,0,0,0,2,1,2,25,0,0
403,8,0,34,0,2273,52,348,19,3,1,1,30,1485,0
404,8,0,35,0,4018,58,0,30,1,1,1,15,224.18,0
405,1,0,35,0,2213,50,0,28,1,1,1,15,124.465,0
406,9,0,35,1,3595,74,21,23,3,1,1,30,230.76,0
407,2,0,35,0,2180,31,274,13,3,1,1,30,1184.44,0
408,11,0,34,2,8935,113,133,38,3,1,1,30,893.92,0
409,5,0,35,0,13593,161,0,39,3,1,1,30,550.16,0
410,5,0,35,1,4335,75,0,20,3,1,1,30,176.4,0
411,4,0,35,0,5738,87,0,7,3,1,1,30,233,0
412,7,0,35,0,2058,46,0,12,3,1,2,30,84.16,0
413,23,0,35,3,14960,217,43,27,3,1,1,30,779.08,0
414,2,0,35,1,2915,19,472,3,3,1,1,30,2005.36,0
415,7,0,34,0,15305,174,139,25,2,1,1,25,1322.055,0
416,1,0,34,1,6320,78,175,21,3,1,1,30,955.92,0
417,0,0,34,0,695,6,0,6,2,1,2,25,31.545,0
418,0,0,35,0,530,6,2,3,3,1,2,30,29.44,0
419,0,1,34,0,0,0,0,0,2,1,2,25,0,1
420,1,0,34,0,7328,119,373,38,2,1,1,25,2013.615,0
